Locality Name,Income Limit Type,Affordable Housing Baseline Estimate,Three Year Commitment Estimate,Annualized Commitment Estimate
Adams County (Unincorporated),"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",6022,542,181
Adams County (Unincorporated),"Neighboring AMI - Morgan County, Washington County",2818,254,85
Adams County (Unincorporated),Neighboring AMI - Weld County,4902,442,148
Adams County (Unincorporated),Own AMI - Adams County,6022,542,181
Adams County (Unincorporated),State Median Income,2793,252,84
Aguilar Town,"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",50,5,2
Aguilar Town,"Neighboring AMI - Colfax County, NM",48,5,2
Aguilar Town,"Neighboring AMI - Union County, NM",48,5,2
Aguilar Town,Own AMI - Las Animas County,50,5,2
Aguilar Town,State Median Income,50,5,2
Akron Town,"Neighboring AMI - Adams County, Arapahoe County",299,27,9
Akron Town,"Neighboring AMI - Kit Carson County, Lincoln County, Logan County, Morgan County, Washington County, Yuma County",270,25,9
Akron Town,Own AMI - Washington County,270,25,9
Akron Town,State Median Income,270,25,9
Alamosa City,"Neighboring AMI - Alamosa County, Conejos County, Costilla County, Huerfano County, Rio Grande County, Saguache County",1895,171,57
Alamosa City,Own AMI - Alamosa County,1895,171,57
Alamosa City,State Median Income,1893,171,57
Alamosa County (Unincorporated),"Neighboring AMI - Alamosa County, Conejos County, Costilla County, Huerfano County, Rio Grande County, Saguache County",447,41,14
Alamosa County (Unincorporated),Own AMI - Alamosa County,447,41,14
Alamosa County (Unincorporated),State Median Income,447,41,14
Alma Town,"Neighboring AMI - Chaffee County, Fremont County, Lake County",3,1,1
Alma Town,"Neighboring AMI - Clear Creek County, Jefferson County, Park County",27,3,1
Alma Town,Neighboring AMI - Summit County,15,2,1
Alma Town,Neighboring AMI - Teller County,3,1,1
Alma Town,Own AMI - Park County,27,3,1
Alma Town,State Median Income,3,1,1
Antonito Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Costilla County, Rio Grande County",123,12,4
Antonito Town,"Neighboring AMI - Rio Arriba County, NM, Taos County, NM",109,10,4
Antonito Town,Own AMI - Conejos County,123,12,4
Antonito Town,State Median Income,123,12,4
Arapahoe County (Unincorporated),"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",6167,556,186
Arapahoe County (Unincorporated),"Neighboring AMI - Lincoln County, Washington County",1843,166,56
Arapahoe County (Unincorporated),Own AMI - Arapahoe County,6167,556,186
Arapahoe County (Unincorporated),State Median Income,1821,164,55
Archuleta County (Unincorporated),"Neighboring AMI - Archuleta County, Conejos County, Hinsdale County, Mineral County, Rio Grande County",611,55,19
Archuleta County (Unincorporated),Neighboring AMI - La Plata County,1033,93,31
Archuleta County (Unincorporated),"Neighboring AMI - Rio Arriba County, NM",303,28,10
Archuleta County (Unincorporated),"Neighboring AMI - San Juan County, NM",354,32,11
Archuleta County (Unincorporated),Own AMI - Archuleta County,611,55,19
Archuleta County (Unincorporated),State Median Income,603,55,19
Arriba Town,"Neighboring AMI - Arapahoe County, Elbert County",68,7,3
Arriba Town,Neighboring AMI - Cheyenne County,63,6,2
Arriba Town,"Neighboring AMI - Crowley County, Kiowa County, Kit Carson County, Lincoln County, Pueblo County, Washington County",63,6,2
Arriba Town,Neighboring AMI - El Paso County,63,6,2
Arriba Town,Own AMI - Lincoln County,63,6,2
Arriba Town,State Median Income,63,6,2
Arvada City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",6849,617,206
Arvada City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",6849,617,206
Arvada City,Neighboring AMI - Boulder County,6739,607,203
Arvada City,"Neighboring AMI - Morgan County, Washington County",2073,187,63
Arvada City,Neighboring AMI - Teller County,2044,184,62
Arvada City,Neighboring AMI - Weld County,4777,430,144
Arvada City,Own AMI - Adams County,6849,617,206
Arvada City,Own AMI - Jefferson County,6849,617,206
Arvada City,State Median Income,2041,184,62
Aspen City,"Neighboring AMI - Chaffee County, Lake County, Mesa County",273,25,9
Aspen City,Neighboring AMI - Eagle County,729,66,22
Aspen City,Neighboring AMI - Garfield County,438,40,14
Aspen City,Neighboring AMI - Gunnison County,269,25,9
Aspen City,Own AMI - Pitkin County,512,47,16
Aspen City,State Median Income,269,25,9
Ault Town,"Neighboring AMI - Adams County, Broomfield County",192,18,6
Ault Town,Neighboring AMI - Boulder County,191,18,6
Ault Town,"Neighboring AMI - Kimball County, NE",117,11,4
Ault Town,"Neighboring AMI - Laramie County, WY",147,14,5
Ault Town,Neighboring AMI - Larimer County,178,17,6
Ault Town,"Neighboring AMI - Logan County, Morgan County",141,13,5
Ault Town,Own AMI - Weld County,180,17,6
Ault Town,State Median Income,141,13,5
Aurora City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",34401,3097,1033
Aurora City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",34401,3097,1033
Aurora City,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",34401,3097,1033
Aurora City,Neighboring AMI - El Paso County,12079,1088,363
Aurora City,"Neighboring AMI - Lincoln County, Washington County",12318,1109,370
Aurora City,"Neighboring AMI - Morgan County, Washington County",12318,1109,370
Aurora City,Neighboring AMI - Teller County,12161,1095,365
Aurora City,Neighboring AMI - Weld County,25056,2256,752
Aurora City,Own AMI - Adams County,34401,3097,1033
Aurora City,Own AMI - Arapahoe County,34401,3097,1033
Aurora City,Own AMI - Douglas County,34401,3097,1033
Aurora City,State Median Income,12146,1094,365
Avon Town,Neighboring AMI - Garfield County,267,25,9
Avon Town,Neighboring AMI - Grand County,236,22,8
Avon Town,Neighboring AMI - Lake County,236,22,8
Avon Town,Neighboring AMI - Pitkin County,311,28,10
Avon Town,Neighboring AMI - Routt County,315,29,10
Avon Town,Neighboring AMI - Summit County,314,29,10
Avon Town,Own AMI - Eagle County,548,50,17
Avon Town,State Median Income,236,22,8
Baca County (Unincorporated),"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",99,9,3
Baca County (Unincorporated),"Neighboring AMI - Cimarron County, OK",87,8,3
Baca County (Unincorporated),"Neighboring AMI - Morton County, KS, Stanton County, KS",86,8,3
Baca County (Unincorporated),"Neighboring AMI - Union County, NM",83,8,3
Baca County (Unincorporated),Own AMI - Baca County,99,9,3
Baca County (Unincorporated),State Median Income,99,9,3
Basalt Town,"Neighboring AMI - Chaffee County, Lake County, Mesa County",22,2,1
Basalt Town,Neighboring AMI - Eagle County,183,17,6
Basalt Town,Neighboring AMI - Garfield County,49,5,2
Basalt Town,Neighboring AMI - Grand County,22,2,1
Basalt Town,Neighboring AMI - Gunnison County,22,2,1
Basalt Town,Neighboring AMI - Lake County,22,2,1
Basalt Town,Neighboring AMI - Pitkin County,48,5,2
Basalt Town,Neighboring AMI - Routt County,49,5,2
Basalt Town,Neighboring AMI - Summit County,48,5,2
Basalt Town,Own AMI - Eagle County,183,17,6
Basalt Town,Own AMI - Pitkin County,48,5,2
Basalt Town,State Median Income,22,2,1
Bayfield Town,"Neighboring AMI - Archuleta County, Dolores County, Hinsdale County, Montezuma County, San Juan County",164,15,5
Bayfield Town,"Neighboring AMI - San Juan County, NM",94,9,3
Bayfield Town,Own AMI - La Plata County,234,22,8
Bayfield Town,State Median Income,164,15,5
Bennett Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",312,29,10
Bennett Town,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",312,29,10
Bennett Town,"Neighboring AMI - Lincoln County, Washington County",181,17,6
Bennett Town,"Neighboring AMI - Morgan County, Washington County",181,17,6
Bennett Town,Neighboring AMI - Weld County,296,27,9
Bennett Town,Own AMI - Adams County,312,29,10
Bennett Town,Own AMI - Arapahoe County,312,29,10
Bennett Town,State Median Income,180,17,6
Bent County (Unincorporated),"Neighboring AMI - Baca County, Bent County, Kiowa County, Las Animas County, Otero County, Prowers County",145,14,5
Bent County (Unincorporated),Own AMI - Bent County,145,14,5
Bent County (Unincorporated),State Median Income,145,14,5
Berthoud Town,"Neighboring AMI - Adams County, Broomfield County",899,81,27
Berthoud Town,"Neighboring AMI - Albany County, WY",453,41,14
Berthoud Town,Neighboring AMI - Boulder County,886,80,27
Berthoud Town,Neighboring AMI - Grand County,454,41,14
Berthoud Town,Neighboring AMI - Jackson County,456,42,14
Berthoud Town,"Neighboring AMI - Kimball County, NE",375,34,12
Berthoud Town,"Neighboring AMI - Laramie County, WY",491,45,15
Berthoud Town,Neighboring AMI - Larimer County,820,74,25
Berthoud Town,"Neighboring AMI - Logan County, Morgan County",456,42,14
Berthoud Town,Neighboring AMI - Weld County,834,76,26
Berthoud Town,Own AMI - Larimer County,820,74,25
Berthoud Town,Own AMI - Weld County,834,76,26
Berthoud Town,State Median Income,453,41,14
